timestamp,vehicle_id,vehicle_type,x,y,speed,acceleration,lane,road,network_vehicle_count,neighbor_count,neighbor_distance,relative_speed,in_rsu_range,application_type,application_priority,channel_id,channel_name,channel_utilization,interference_dbm,sinr_db,throughput_mbps,latency_ms,packet_delivery_ratio
15.0,3,car,3262.04,7067.78,11.69,-0.02,-60194990_0,-60194990,5,0,615.31,2.49,0,safety,1,2,CH2_5.88GHz_EMERG,0.4,-144.11,-30.2,0.014,176.72,0.0
15.0,4,motorcycle,1875.01,8564.15,6.19,-4.5,-254053180#3_0,-254053180#3,5,1,257.85,9.5,0,safety,1,6,CH6_140GHz_6G_THz,0.4,-150.0,-48.14,0.058,43.99,0.0
16.0,0,car,1645.84,8675.24,15.48,-0.21,:10091779111_1_0,:10091779111_1,6,1,251.99,10.99,0,cooperative_awareness,3,1,CH1_5.86GHz_V2V,0.333,-139.26,-15.31,0.419,11.22,0.0023
16.0,1,car,3855.31,7162.52,14.74,0.56,27935333#4_0,27935333#4,6,0,534.27,5.25,0,cooperative_awareness,3,6,CH6_140GHz_6G_THz,0.333,-146.87,-54.26,0.058,70.99,0.0
16.0,2,car,4423.62,13338.88,7.3,0.4,464465173#1_1,464465173#1,6,0,5416.0,2.81,0,cooperative_awareness,3,4,CH4_5.92GHz_AUTON,0.167,-150.0,-57.59,0.003,1386.8,0.0
16.0,3,car,3273.46,7069.56,11.56,-0.13,-60194990_0,-60194990,6,0,589.23,3.18,0,autonomous_driving,4,5,CH5_28GHz_mmWave,0.167,-150.0,-37.71,0.024,491.39,0.0
16.0,4,motorcycle,1871.02,8562.13,4.49,-1.7,:3870459131_0_0,:3870459131_0,6,1,251.99,10.99,0,cooperative_awareness,3,6,CH6_140GHz_6G_THz,0.333,-147.6,-42.48,0.058,70.99,0.0
16.0,5,car,4262.66,6816.82,9.49,0.0,-1103093311_0,-1103093311,6,0,534.27,5.25,0,safety,1,1,CH1_5.86GHz_V2V,0.333,-147.56,-18.46,0.204,13.42,0.0006
17.0,0,car,1641.6,8660.19,15.64,0.16,-290639790#7_0,-290639790#7,6,1,244.0,9.77,0,autonomous_driving,4,6,CH6_140GHz_6G_THz,0.167,-150.0,-43.49,0.058,208.37,0.0
17.0,1,car,3841.71,7162.73,13.6,-1.15,27935333#4_0,27935333#4,6,0,552.23,4.43,0,autonomous_driving,4,2,CH2_5.88GHz_EMERG,0.5,-113.7,-33.61,0.006,1912.16,0.0
