timestamp,vehicle_id,vehicle_type,x,y,speed,acceleration,lane,road,heading,distance,waiting_time,network_vehicle_count,network_avg_speed,network_avg_waiting_time,edge_vehicle_count,edge_queue_length
18.0,4,motorcycle,1862.87,8569.12,5.69,-0.18,-383732625#0_0,-383732625#0,327.31,32.94,0.0,6,8.83,0.0,1,0
18.0,5,car,4276.49,6816.14,4.67,-4.5,-1103093311_0,-1103093311,92.78,13.84,0.0,6,8.83,0.0,1,0
19.0,0,car,1635.57,8638.74,8.89,-4.5,-290639790#6_0,-290639790#6,195.67,276.49,0.0,7,8.49,0.0,1,0
19.0,1,car,3826.73,7162.95,5.24,-4.5,27935333#4_0,27935333#4,270.86,201.93,0.0,7,8.49,0.0,1,0
19.0,2,car,4422.43,13361.7,7.95,0.48,464465173#1_1,464465173#1,357.02,89.94,0.0,7,8.49,0.0,1,0
19.0,3,car,3308.83,7071.37,12.23,0.19,-60194990_0,-60194990,89.46,105.15,0.0,7,8.49,0.0,1,0
19.0,4,motorcycle,1858.99,8575.17,7.19,1.5,-383732625#0_0,-383732625#0,327.31,40.13,0.0,7,8.49,0.0,1,0
19.0,5,car,4283.45,6817.47,7.23,2.56,:10094580887_7_0,:10094580887_7,73.73,21.08,0.0,7,8.49,0.0,1,0
19.0,6,bus,5648.65,8032.65,10.67,0.0,156678397#2_0,156678397#2,177.57,0.0,0.0,7,8.49,0.0,1,0
20.0,0,car,1634.67,8634.12,4.72,-4.18,:cluster_1607671447_1607671449_2_0,:cluster_1607671447_1607671449_2,190.71,281.21,0.0,7,8.0,0.0,1,0
20.0,1,car,3821.2,7165.03,6.21,0.97,:306614126_4_0,:306614126_4,296.98,208.14,0.0,7,8.0,0.0,1,0
20.0,2,car,4422.07,13368.68,6.99,-0.95,464465173#1_1,464465173#1,357.02,96.94,0.0,7,8.0,0.0,1,0
20.0,3,car,3317.99,7074.18,9.59,-2.65,:2450399422_7_0,:2450399422_7,72.93,114.74,0.0,7,8.0,0.0,1,0
20.0,4,motorcycle,1853.89,8583.08,9.41,2.22,:3870459130_5_0,:3870459130_5,327.11,49.53,0.0,7,8.0,0.0,1,0
20.0,5,car,4286.99,6824.65,8.38,1.15,-133944946#1_0,-133944946#1,13.06,29.45,0.0,7,8.0,0.0,1,0
20.0,6,bus,5649.1,8021.97,10.69,0.02,156678397#2_0,156678397#2,177.57,10.69,0.0,7,8.0,0.0,1,0
21.0,0,car,1637.31,8627.83,7.19,2.48,:cluster_1607671447_1607671449_16_0,:cluster_1607671447_1607671449_16,146.95,288.4,0.0,7,8.11,0.0,1,0
21.0,1,car,3820.27,7171.61,6.78,0.56,-1196120496#1_0,-1196120496#1,358.26,214.92,0.0,7,8.11,0.0,1,0
21.0,2,car,4421.7,13375.67,6.99,0.0,464465173#1_1,464465173#1,357.02,103.93,0.0,7,8.11,0.0,1,0
21.0,3,car,3324.63,7076.19,6.94,-2.65,237089974#0_0,237089974#0,73.4,121.67,0.0,7,8.11,0.0,1,0
21.0,4,motorcycle,1847.62,8592.75,11.53,2.12,-1322924310#1_0,-1322924310#1,326.92,61.06,0.0,7,8.11,0.0,1,0
21.0,5,car,4287.62,6834.77,10.13,1.76,-133944946#1_0,-133944946#1,3.6,39.59,0.0,7,8.11,0.0,1,0
21.0,6,bus,5649.41,8014.79,7.19,-3.5,156678397#2_0,156678397#2,177.57,17.88,0.0,7,8.11,0.0,1,0
22.0,0,car,1644.21,8625.15,7.46,0.27,147561889#0_0,147561889#0,107.73,295.86,0.0,8,8.91,0.0,1,0
22.0,1,car,3820.41,7179.7,8.09,1.31,-1196120496#1_0,-1196120496#1,1.01,223.01,0.0,8,8.91,0.0,1,0
22.0,2,car,4421.3,13383.32,7.66,0.67,464465173#1_1,464465173#1,357.02,111.6,0.0,8,8.91,0.0,1,0
22.0,3,car,3330.54,7077.86,6.14,-0.8,237089974#0_0,237089974#0,74.19,127.81,0.0,8,8.91,0.0,1,0
22.0,4,motorcycle,1840.85,8603.14,12.4,0.87,-1322924310#1_0,-1322924310#1,326.92,73.46,0.0,8,8.91,0.0,1,0
